"Date","Price","Open","High","Low","Vol.","Change %"
"03/14/2012","275.1963","277.9496","279.1704","274.5470","","-1.20%"
"03/13/2012","278.5470","278.7288","280.1314","275.9236","","0.37%"
"03/12/2012","277.5080","277.7678","278.0535","275.0405","","-0.95%"
"03/09/2012","280.1834","278.8068","282.0535","276.9366","","0.76%"
"03/08/2012","278.0795","279.0146","279.6639","276.3392","","0.38%"
"03/07/2012","277.0145","274.8327","277.1964","272.4431","","1.37%"
"03/06/2012","273.2743","276.7288","277.2223","272.8327","","-1.84%"
"03/05/2012","278.3912","275.5671","280.0795","275.5671","","0.01%"
"03/02/2012","278.3652","271.1305","279.8457","271.0801","","-1.92%"
"03/01/2012","283.8198","279.6639","283.9756","278.2613","","1.63%"
"02/29/2012","279.2743","278.5990","279.8457","273.5340","","0.49%"
"02/28/2012","277.9236","282.0535","283.4561","277.5080","","-1.85%"
"02/27/2012","283.1704","283.3003","285.1445","282.5211","","-1.05%"
"02/24/2012","286.1834","282.5470","286.5990","281.5081","","1.78%"
"02/23/2012","281.1704","277.4301","281.4821","275.3782","","1.38%"
"02/22/2012","277.3522","275.6899","278.4431","275.6639","","0.03%"
"02/21/2012","277.2743","273.4041","277.7418","273.0924","","2.59%"
"02/17/2012","270.2872","268.7288","270.9885","268.6509","","0.85%"
"02/16/2012","268.0015","265.3521","268.7807","264.2093","","0.55%"
"02/15/2012","266.5469","266.1573","268.3651","263.8976","","1.00%"
"02/14/2012","263.8976","265.8716","266.5729","262.8586","","-0.24%"
"02/13/2012","264.5210","261.0236","264.8749","260.4512","","2.23%"
"02/10/2012","258.7546","258.4573","259.4741","255.6728","","-1.21%"
"02/09/2012","261.9145","260.6239","262.7035","260.2372","","1.15%"
"02/08/2012","258.9414","260.8839","262.4127","257.3864","","0.31%"
"02/07/2012","258.1351","252.2332","259.8138","251.4201","","1.55%"
"02/06/2012","254.2005","254.0431","256.1678","252.8627","","-0.95%"
"02/03/2012","256.6399","253.7283","257.0596","251.8660","","1.54%"
"02/02/2012","252.7578","254.5940","255.2235","250.3708","","-1.28%"
"02/01/2012","256.0366","260.3384","260.8893","255.6956","","-0.88%"
"01/31/2012","258.3187","263.3287","265.6108","256.8498","","-0.30%"
"01/30/2012","259.1056","260.3384","261.2303","258.2400","","-0.78%"
"01/27/2012","261.1516","262.5943","263.8796","260.2073","","-0.14%"
"01/26/2012","261.5188","262.7254","265.8993","260.3122","","0.30%"
"01/25/2012","260.7319","257.4793","263.2238","256.0891","","0.45%"
"01/24/2012","259.5515","260.4434","260.6794","257.8203","","-0.63%"
"01/23/2012","261.2041","259.8663","262.9090","259.0269","","1.27%"
